time,global_anom_mean
"(Timestamp('1860-09-01 00:00:00'), 0.0)",-0.509067
"(Timestamp('1860-10-01 00:00:00'), 0.0)",-0.46196485
"(Timestamp('1860-11-01 00:00:00'), 0.0)",-0.34825873
"(Timestamp('1860-12-01 00:00:00'), 0.0)",-0.70992774
"(Timestamp('1861-01-01 00:00:00'), 0.0)",-0.69112444
"(Timestamp('1861-02-01 00:00:00'), 0.0)",-0.6791421
"(Timestamp('1861-03-01 00:00:00'), 0.0)",-0.39832386
"(Timestamp('1861-04-01 00:00:00'), 0.0)",-0.47181112
"(Timestamp('1861-05-01 00:00:00'), 0.0)",-0.6079049
"(Timestamp('1861-06-01 00:00:00'), 0.0)",-0.4884742
"(Timestamp('1861-07-01 00:00:00'), 0.0)",-0.3549561
"(Timestamp('1861-08-01 00:00:00'), 0.0)",-0.39927465
"(Timestamp('1861-09-01 00:00:00'), 0.0)",-0.3766082
"(Timestamp('1861-10-01 00:00:00'), 0.0)",-0.47967854
"(Timestamp('1861-11-01 00:00:00'), 0.0)",-0.2825482
"(Timestamp('1861-12-01 00:00:00'), 0.0)",-0.40257198
"(Timestamp('1862-01-01 00:00:00'), 0.0)",-0.40243053
"(Timestamp('1862-02-01 00:00:00'), 0.0)",-0.57777303
"(Timestamp('1862-03-01 00:00:00'), 0.0)",-0.67067593
"(Timestamp('1862-04-01 00:00:00'), 0.0)",-0.67283916
"(Timestamp('1862-05-01 00:00:00'), 0.0)",-0.6700683
"(Timestamp('1862-06-01 00:00:00'), 0.0)",-0.47067884
"(Timestamp('1862-07-01 00:00:00'), 0.0)",-0.5140365
"(Timestamp('1862-08-01 00:00:00'), 0.0)",-0.51476127
"(Timestamp('1862-09-01 00:00:00'), 0.0)",-0.5298862
"(Timestamp('1862-10-01 00:00:00'), 0.0)",-0.5756723
"(Timestamp('1862-11-01 00:00:00'), 0.0)",-0.29020092
"(Timestamp('1862-12-01 00:00:00'), 0.0)",-0.6376414
"(Timestamp('1863-01-01 00:00:00'), 0.0)",-0.45400545
"(Timestamp('1863-02-01 00:00:00'), 0.0)",-0.58029664
"(Timestamp('1863-03-01 00:00:00'), 0.0)",-0.4384938
"(Timestamp('1863-04-01 00:00:00'), 0.0)",-0.2504951
"(Timestamp('1863-05-01 00:00:00'), 0.0)",-0.46931207
"(Timestamp('1863-06-01 00:00:00'), 0.0)",-0.4159658
"(Timestamp('1863-07-01 00:00:00'), 0.0)",-0.49747294
"(Timestamp('1863-08-01 00:00:00'), 0.0)",-0.45829585
"(Timestamp('1863-09-01 00:00:00'), 0.0)",-0.5337106
"(Timestamp('1863-10-01 00:00:00'), 0.0)",-0.4707557
"(Timestamp('1863-11-01 00:00:00'), 0.0)",-0.325753
"(Timestamp('1863-12-01 00:00:00'), 0.0)",-0.4869301
"(Timestamp('1864-01-01 00:00:00'), 0.0)",-0.54191214
"(Timestamp('1864-02-01 00:00:00'), 0.0)",-0.3253332
"(Timestamp('1864-03-01 00:00:00'), 0.0)",-0.45497262
"(Timestamp('1864-04-01 00:00:00'), 0.0)",-0.46305686
"(Timestamp('1864-05-01 00:00:00'), 0.0)",-0.37911266
"(Timestamp('1864-06-01 00:00:00'), 0.0)",-0.31450245
"(Timestamp('1864-07-01 00:00:00'), 0.0)",-0.37620804
